,Référence Chantier,Code postal arrondissement - Commune,Date début du chantier,Date fin du chantier,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,forme_geo
6297,EC326107,75011,2023-04-04,2023-04-04,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,39.55,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,814090,214957,"{""coordinates"": [[[2.3793616753747053, 48.85799958912243], [2.379278804220017, 48.8581277398989], [2.379310885785884, 48.8581355165838], [2.379394966422784, 48.858007773167955], [2.3793616753747053, 48.85799958912243]]], ""type"": ""Polygon""}","48.85806723908548, 2.3793368517180427",pentagone
6298,EC320723,75019,2023-02-06,2023-07-21,Opérateurs de réseau (gaz-électricité-RATP-etc),CPCU,67.06,Travaux sur réseau de chauffage urbain,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,809668,211611,"{""coordinates"": [[[2.388066814093795, 48.88934840879506], [2.388038745528239, 48.88938651527808], [2.38821087354342, 48.88942928702899], [2.388247249258439, 48.88938940182348], [2.388066814093795, 48.88934840879506]]], ""type"": ""Polygon""}","48.88938857860543, 2.38814218926291",pentagone
6299,EC320796,75007,2023-02-22,2023-04-07,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,48.09,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,809727,211642,"{""coordinates"": [[[2.3108467692565084, 48.84770282237272], [2.3109951600774767, 48.84781100783965], [2.311033902842085, 48.84778846269694], [2.310862744723406, 48.847687431870895], [2.3108467692565084, 48.84770282237272]]], ""type"": ""Polygon""}","48.84775258234772, 2.310942699981803",pentagone
6300,EC320798,75007,2023-02-15,2023-04-07,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,91.56,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,809727,211642,"{""coordinates"": [[[2.311997739997377, 48.84768265378025], [2.311975830106877, 48.84766977752442], [2.3117771904093636, 48.847768816784146], [2.31169449385994, 48.847783831663655], [2.311353150835127, 48.84779507272317], [2.3113539968786716, 48.84780942152102], [2.3116911659653705, 48.847800661169124], [2.311787294511439, 48.84778390954476], [2.311997739997377, 48.84768265378025]]], ""type"": ""Polygon""}","48.84776674390827, 2.3116984074136004",nonagone
6301,EC320861,75009,2023-02-20,2023-03-24,Opérateurs de réseau (gaz-électricité-RATP-etc),GRDF,7.1,Travaux sur réseau de gaz,EMPRISE_TROTTOIR,,809924,211685,"{""coordinates"": [[[2.3356014128659384, 48.880110128368045], [2.3355819689643345, 48.880100912907295], [2.335548234635346, 48.880129565512625], [2.3355699897452538, 48.88013803386877], [2.3356014128659384, 48.880110128368045]]], ""type"": ""Polygon""}","48.8801197408769, 2.335575202996778",pentagone
6302,EC320900,75017,2023-02-01,2023-05-05,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,12.59,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,809965,211716,"{""coordinates"": [[[2.285150389935894, 48.88085794480556], [2.2851411156058163, 48.88087974693909], [2.2852044472961235, 48.880893330062456], [2.28521510903734, 48.880871081142935], [2.285150389935894, 48.88085794480556]]], ""type"": ""Polygon""}","48.880875528697416, 2.2851779424870213",pentagone
6303,EC320933,75019,2023-02-20,2023-05-01,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,20.28,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,809995,211747,"{""coordinates"": [[[2.3764591233761627, 48.87696034170553], [2.376472187051493, 48.876976255986456], [2.3765971696317942, 48.876939385860084], [2.3765838313476833, 48.87692328759784], [2.3764591233761627, 48.87696034170553]]], ""type"": ""Polygon""}","48.8769497778115, 2.3765282173109474",pentagone
6304,EC321030,75018,2023-02-06,2023-06-06,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,35.55,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,16497,12917,"{""coordinates"": [[[2.336669710263793, 48.886752850106255], [2.3366905107395857, 48.88674613584202], [2.3365752163938214, 48.88658213770917], [2.3365526823590677, 48.886589412522525], [2.336669710263793, 48.886752850106255]]], ""type"": ""Polygon""}","48.88666654214003, 2.336621255220691",pentagone
6305,EC321063,75010,2023-02-20,2023-06-16,Tiers (travaux sur bâtiment),PERSONNE PHYSIQUE,5.99,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,802529,210484,"{""coordinates"": [[[2.357712772318069, 48.86919811546454], [2.3577087938196706, 48.86918488909962], [2.3576555511202115, 48.86919234400031], [2.3576595295945713, 48.8692055712662], [2.357712772318069, 48.86919811546454]]], ""type"": ""Polygon""}","48.869195230003996, 2.357684161425965",pentagone
6306,EC321106,75008,2023-02-06,2023-03-30,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,45.96,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,810121,211850,"{""coordinates"": [[[2.324892802506225, 48.874198264994554], [2.325405210287891, 48.874130572719956], [2.325401907221277, 48.87411917026616], [2.3248915526879617, 48.87418824020336], [2.324892802506225, 48.874198264994554]]], ""type"": ""Polygon""}","48.87415821052116, 2.325154259203714",pentagone
